index,name,population,density,land-size,median_age,urban_pop,image_url,latitude,longitude
93,Mayotte,"272,815",728,375,20,46 %,,-12.8275,45.166244
94,Samoa,"198,414",70,"2,830",22,18 %,https://www.worldometers.info/img/flags/ws-flag.gif,-13.759029,-172.104629
95,Channel Islands,"173,863",915,190,43,30 %,,,
96,Curaçao,"164,093",370,444,42,89 %,,,
97,Grenada,"112,523",331,340,32,35 %,https://www.worldometers.info/img/flags/gj-flag.gif,12.262776,-61.604171
98,Aruba,"106,766",593,180,41,44 %,,12.52111,-69.968338
99,U.S. Virgin Islands,"104,425",298,350,43,96 %,,18.335765,-64.896335
100,Antigua and Barbuda,"97,929",223,440,34,26 %,https://www.worldometers.info/img/flags/ac-flag.gif,17.060816,-61.796428
101,Andorra,"77,265",164,470,N.A.,88 %,https://www.worldometers.info/img/flags/an-flag.gif,42.546245,1.601554
102,Cayman Islands,"65,722",274,240,N.A.,97 %,,19.513469,-80.566956
103,Marshall Islands,"59,190",329,180,N.A.,70 %,https://www.worldometers.info/img/flags/rm-flag.gif,7.131474,171.184478
104,Greenland,"56,770",0,"410,450",N.A.,87 %,,71.706936,-42.604303
105,Saint Kitts & Nevis,"53,199",205,260,N.A.,33 %,,,
106,Sint Maarten,"42,876","1,261",34,N.A.,96 %,,,
107,Turks and Caicos,"38,717",41,950,N.A.,89 %,,,
108,Liechtenstein,"38,128",238,160,N.A.,15 %,https://www.worldometers.info/img/flags/ls-flag.gif,47.166,9.555373
109,Gibraltar,"33,691","3,369",10,N.A.,N.A.,,36.137741,-5.345374
110,Caribbean Netherlands,"26,223",80,328,N.A.,75 %,,,
111,Cook Islands,"17,564",73,240,N.A.,75 %,,-21.236736,-159.777671
112,Tuvalu,"11,792",393,30,N.A.,62 %,https://www.worldometers.info/img/flags/tv-flag.gif,-7.109535,177.64933
113,Nauru,"10,824",541,20,N.A.,N.A.,https://www.worldometers.info/img/flags/nr-flag.gif,-0.522778,166.931503
114,Saint Helena,"6,077",16,390,N.A.,27 %,,-24.143474,-10.030696
115,Montserrat,"4,992",50,100,N.A.,10 %,,16.742498,-62.187366
116,Niue,"1,626",6,260,N.A.,46 %,,-19.054445,-169.867233
117,Holy See,801,"2,003",0,N.A.,N.A.,https://www.worldometers.info/img/flags/vt-flag.gif,,
118,India,"1,380,004,385",464,"2,973,190",28,35 %,https://www.worldometers.info/img/flags/in-flag.gif,20.593684,78.96288
119,Indonesia,"273,523,615",151,"1,811,570",30,56 %,https://www.worldometers.info/img/flags/id-flag.gif,-0.789275,113.921327
120,Brazil,"212,559,417",25,"8,358,140",33,88 %,https://www.worldometers.info/img/flags/br-flag.gif,-14.235004,-51.92528
121,Bangladesh,"164,689,383","1,265","130,170",28,39 %,https://www.worldometers.info/img/flags/bg-flag.gif,23.684994,90.356331
122,Mexico,"128,932,753",66,"1,943,950",29,84 %,https://www.worldometers.info/img/flags/mx-flag.gif,23.634501,-102.552784
123,Ethiopia,"114,963,588",115,"1,000,000",19,21 %,https://www.worldometers.info/img/flags/et-flag.gif,9.145,40.489673
124,Egypt,"102,334,404",103,"995,450",25,43 %,https://www.worldometers.info/img/flags/eg-flag.gif,26.820553,30.802498
125,DR Congo,"89,561,403",40,"2,267,050",17,46 %,https://www.worldometers.info/img/flags/congo-flag.gif,,
126,Iran,"83,992,949",52,"1,628,550",32,76 %,https://www.worldometers.info/img/flags/ir-flag.gif,32.427908,53.688046
127,Thailand,"69,799,978",137,"510,890",40,51 %,https://www.worldometers.info/img/flags/th-flag.gif,15.870032,100.992541
128,France,"65,273,511",119,"547,557",42,82 %,https://www.worldometers.info/img/flags/fr-flag.gif,46.227638,2.213749
129,Tanzania,"59,734,218",67,"885,800",18,37 %,https://www.worldometers.info/img/flags/tz-flag.gif,-6.369028,34.888822
130,Myanmar,"54,409,800",83,"653,290",29,31 %,https://www.worldometers.info/img/flags/bm-flag.gif,,
131,South Korea,"51,269,185",527,"97,230",44,82 %,https://www.worldometers.info/img/flags/ks-flag.gif,35.907757,127.766922
132,Spain,"46,754,778",94,"498,800",45,80 %,https://www.worldometers.info/img/flags/sp-flag.gif,40.463667,-3.74922
